,text_review,annot_1,annot_2,confidence /10
38,"1987, 102 min., Danish

...for how old it is but it is supposed to be extraordinary.  I was willing to pay the price because i love, i mean love, Karen Blixen or Isak Dinesen, whatever name you would like to call her as she had a few.

I wish I could review this film but I cannot as I was sent a foreign version that none of my players can accommodate:(  The company I ordered it from through Amazon ignored my complaints so I finally was wore done enough to just give up.  I guess  I made a donation to them.  I didn't even get a thank you!

However, I do know that Isak wrote a wonderful novel that was turned into the movie Out of Africa (must see!).  One of my all time favorite movies, bar none!

Have faith.  :) I am saving up my recyclables to redeem for cash so I can buy it once again.

At that time I will order, watch, review.  Stay tuned.",b,c,6
39,"Had to add shim in order to work  but once you figure it out, very good details",b,b,10
40,Great product! Use it to clip keys to outside of bags. Also clips to belt loops when needed.,b,b,10
41,"Arrived on time, game was intact, code was included, living this game so far!",c,c,10
42,"Olive Garden is good, not your authentic Italian food but it does the trick for a chain restaurant. Some prices are a little high but the fact you get salad and bread sticks with your dinner (for takeout too) makes it worth it. I recommend the chicken Marsala,  it's my favorite item on the menu....sooo good!!",c,c,8
43,"what a beautiful set!  the colors are gorgeous, high-quality, and the glitter is very fine which makes it easy to use in crafts.  fun!",c,c,8
44,"I didn't have high expectations, with yet another straight to DVD Western coming along.  The cast of eminently watchable actors (Ed Harris, Jason Isaac) persuaded me though, and Im glad I was.  This is a thoroughly surprising movie, never a pure Western and often pushing genre boundaries.  After a slow start, it really works, thanks in large part to an intermittently witty script and of course the performances.
January Jones plays a woman who endures a tragic loss, which tips her over the edge to drastic action against the source of her tragedy -  the self proclaimed Prophet Josiah, played by Jason Isaacs.  His delusional, dangerous preacher is also responsible for another couple of murders, which brings an eccentric (putting it mildly) sheriff (Ed Harris) to come investigating.  Harris is great value, genuinely unnerving in his eccentricity, skirting the line of cartoonishness while never going over it, and never letting it blunt the characters hard edge.  You feel some sympathy when Isaacs tells him Youre a really queer man, to which the sheriff replies Unusual.  I prefer unusual..  However for me it is Jason Isaacs who steals the show with his portrayal of a character who could easily have been a wafer thin characterization, but becomes fully fleshed out and endlessly watchable in Isaacs hands.  All of these means that the core of the movie  January Jones revenge driven widow, taking matters into her own hands, never quite draws us in as it should  we are more voyeurs to her story than engaged in understanding or debating her motives and actions.
Beyond the characters, the cinematography belies its straight to DVD origins  as it should, with Brad Shield on lensing duties (Moulin Rouge, Star Wars Episode 2, The Avengers).  The scenery in New Mexico is immaculately shot, and the direction by Logan Miller although slow to start, works well in creating a movie with its own distinctive hotch potch of genre styles.
All in all, I liked this  nothing new in the story, but its executed well (no pun intended) and Harris and Isaacs make it a cult classic in my book  not up there with Open Range or Seraphim Falls, but a solid 6/10.
p.s.  this has also been marketed under the title Sweet Vengeance in the UK.",d,d,10
45,"None of these worked as near as I can tell. Don't know if I got a bad batch or what, but I've tried every possible wiring option and a variety of libraries for the Arduino that support the DS18b and have pretty much given up.",b,c,8
46,"Daft Punk is one of my all time favorites.  Their 4 singles and video series for them were genius and amazing, but 3 stars was probably generous for this cd because it disappointed me a little.  I'm still confused about whether they are treating this as \\""a new album\\"" since it was so marketed in the US (unlike Alive 1997).  If they are, it was a dissapointment, if it was meant to be a bunch of extended, clublike versions of their previous songs, then it's alright.  Dont get me wrong, the only new songs on the album, Ouverture and Aerodynamite are great and distinct style like Discovery Daft Punk, but the club mixes and experimental songs I could do without.  Parts of the club mixes are great, but they repeat and run on like an average techno song, something I've never known Daft Punk for.  The American influence is clear on this album too with the presence of rap on the Neptunes Remix and Slum Village.  Both songs are terrible and I try to forget that Aerodynamic was destroyed and rap put over it.  I also have to mention that the Romanthony Version of One More Time is possibly the worst song I ever heard, and I'm quite surprised its even on the cd with how bad the singing is.  Artists change, but this wasnt change, it just kinda seemed like they were trying to get you to spend money.  To top it off, I thought I'd finally have access to their website (only people who buy their cds can go there) and when I loaded the cd it took me to a webpage advertising their Interstella 5555 figurines, forcing me to sign up for some advertising scheme for it.  Kinda disappointed but Im trying to tell myself this was just to hold us over for now.",c,d,10
47,"I've only just received this, and already I'm impressed. The construction is solid. Light enough to be portable, heavy enough to not tip over. And yes, it clears my input jack! (I do use a right-angle plug, see photo) I own several Hercules GS414's, as well as a few of their wall hangers (GSP38WB), and have been thoroughly impressed by all of their products. This is definitely going in my gig bag.",d,d,10
48,The tree would be beautiful if it worked right. I got one tree and half of the bottom didn't light up. I called the company and the lady was very helpful. I sent the tree back. I received the replacement on time but the box looked like a soccer team was practicing on it. I put it together and one of the branches is broken. I don't know what to do. I buy a brand new tree and twice it's broken.,c,d,10
49,"The Linden soap is an absolute delight. OMG it smells so very good. Honestly I'm not really sure what Linden is, but oh, I so love this!
Quality of the soap is high, I find it more delicately scented and just a better quality soap than Lush soaps.
These soaps are great for home use, as a guesting gift, or anything really.
Five stars!",d,d,10
