,text_review,tag,bin_tag,num_upper,text_pos,num_tokens
10,my daughter loves it,1.0,0.0,0,PRP$ NN VBZ PRP,4
11,great little speakers for the price it is perfect for my twelve year old daughter i was impressed by how much sound that odd shaped contraption produced,2.0,1.0,0,JJ JJ NNS IN DT NN PRP VBZ JJ IN PRP$ CD NN JJ NN FW VBD VBN IN WRB JJ NN WDT JJ JJ NN VBD,27
12,loved how easy it went on,1.0,0.0,0,VBD WRB JJ PRP VBD IN,6
13,i bought this portable steamer for a cruise it did not get the wrinkles out and after the first use it leaked hot water all over the floor do not waste your money on this,0.0,0.0,0,LS VBD DT JJ NN IN DT NN PRP VBD RB VB DT NNS IN CC IN DT JJ NN PRP VBD JJ NN DT IN DT NN VBP RB VB PRP$ NN IN DT,35
14,i bought this desk for my three year old grandaughter she loves it when i received it a part was missing i was able to go to the kidkraft website and order it without any problems the desk is high quality and very attractive i have it in my home office and it fits in nicely with my other furniture without looking like a play room it has an opening in the hutch so that you can run wires thru it the corkboard is a nice touch and adds to the fun factor of the desk the shelf is also a pefect height even for a three year old after seeing the quality of both the product and customer service i am a huge fan of kidkraft products now,3.0,1.0,0,LS VBD DT NN IN PRP$ CD NN JJ NN PRP VBZ PRP WRB FW VBD PRP DT NN VBD VBG FW VBD JJ TO VB TO DT NN NN CC NN PRP IN DT NNS DT NN VBZ JJ NN CC RB JJ FW VBP PRP IN PRP$ NN NN CC PRP VBZ IN RB IN PRP$ JJ NN IN VBG IN DT NN NN PRP VBZ DT NN IN DT NN IN IN PRP MD VB NNS IN PRP DT NN VBZ DT JJ NN CC VBZ TO DT NN NN IN DT NN DT NN VBZ RB DT NN NN RB IN DT CD NN JJ IN VBG DT NN IN CC DT NN CC NN NN FW VBP DT JJ NN IN NN NNS RB,129
15,protects my phone well great quality i feel its better then the case sprint sells for thirty plut it has a stand,2.0,1.0,0,VBZ PRP$ NN RB JJ NN FW VB PRP$ JJR RB DT NN NN VBZ IN CD NN PRP VBZ DT NN,22
16,it pairs with my devices nice and easy i love the different sound profiles and the buttons are easy to use and the mic is good too.when first charging it i had to use a little force to get the fresh usb into the head phones and thats about it i bought a refurbished model my last note is that i try to handle them with care.overall really great and at a great price,3.0,1.0,0,PRP NNS IN PRP$ NNS JJ CC JJ FW VBP DT JJ NN NNS CC DT NNS VBP JJ TO VB CC DT JJ VBZ JJ NN JJ VBG PRP FW VBD TO VB DT JJ NN TO VB DT JJ NN IN DT NN NNS CC NNS IN PRP FW VBD DT VBN NN PRP$ JJ NN VBZ IN FW VBP TO VB PRP IN NN RB JJ CC IN DT JJ NN,74
17,i received this toilet bag very quickly i love it because it looks so elegant so manly.it is also big enough to hold many personal stuffs when i travel it is got the perfect size for me you can feel it is real leather when you touch and smell it it is worth buying it five star rating i will highly recommend this vetelli bag to my family members and friends by the way i also love their v logo which is very stylish,2.0,1.0,1,LS VBD DT NN NN RB RB FW VBP PRP IN PRP VBZ RB JJ IN NN VBZ RB JJ RB TO VB JJ JJ NNS WRB FW VB PRP VBZ VBD DT JJ NN IN PRP PRP MD VB PRP VBZ JJ NN WRB PRP VBP CC VBP PRP PRP VBZ JJ VBG PRP CD NN NN FW MD RB VB DT JJ NN TO PRP$ NN NNS CC NNS IN DT NN FW RB VBP PRP$ LS NN WDT VBZ RB JJ,84
18,bought this for our one year old as a birthday gift shipping was fast and easy i have no time to go to box stores anymore .. husband assembled it within ten mins and baby boy just loves it he instinctivley held onto the steering wheel as soon as we plopped him in it and you can see he feels very comfortable and confident in it horn is a little weak and is more squeaky that what i had hoped for but otherwise it is great,2.0,1.0,0,VBN DT IN PRP$ CD NN JJ IN DT NN NN NN VBD JJ CC JJ FW VBP DT NN TO VB TO NN NNS RB .,86
19,bought this for our mexico trip but ended up loving it for my neighborhood walks even more than for traveling its so light weight and the adjustable strap makes it great for carrying my mp3 player keys and phone this has alot of secure sections two zippered and two long ways seperated by a net mesh very durable and versatile,2.0,1.0,0,VBN DT IN PRP$ NN NN CC VBD RP JJ PRP IN PRP$ NN VBZ RB JJR IN IN VBG PRP$ RB JJ NN CC DT JJ NN VBZ PRP JJ IN VBG PRP$ NN NN NNS CC NN DT VBZ NN IN JJ NNS CD JJ CC CD JJ NNS VBN IN DT JJ NN RB JJ CC JJ,60
20,great fun for your brain the program was easy to load and has all the features of the board game plus a dictionary and help great for all ages,2.0,1.0,0,JJ NN IN PRP$ NN DT NN VBD JJ TO NN CC VBZ PDT DT NNS IN DT NN NN CC DT NN CC NN JJ IN DT NNS,29
21,does the job,1.0,0.0,0,VBZ DT NN,3
22,every thing i need to stay informed and to manage my leagues.clean and uncluttered format the best out there,2.0,1.0,0,DT NN FW VBP TO VB VBN CC TO VB PRP$ NN CC JJ NN DT JJS IN RB,19
23,these are pretty good quality but they run a size small i will buy the next size up next time,1.0,0.0,0,DT VBP RB JJ NN CC PRP VBP DT NN JJ FW MD VB DT JJ NN IN JJ NN,20
24,although skeptical at first we decided to try the necklace on our lil guy so far so good he is been wearing the necklace for almost a month and during that time has shown no signs of discomfort or symptoms of teething he also has had two teeth cut through in this time frame definitely a great buy,1.0,0.0,0,IN JJ IN RB PRP VBD TO VB DT NN IN PRP$ NN NN RB RB RB JJ PRP VBZ VBN VBG DT NN IN RB DT NN CC IN DT NN VBZ VBN DT NNS IN NN CC NNS IN VBG PRP RB VBZ VBN CD NNS VBN IN IN DT NN NN RB DT JJ NN,58
25,excellent product,1.0,0.0,0,JJ NN,2
26,sound quality is very important to me and i am very pleased with how my music sounds through these headphones not tinny or cheap a nice rich sound i purchased these for running as my old earbuds kept falling out during my sprints nothing worse than running balls to the wall and have your music stop these headphones are secure on my head in my ears i am very happy with this purchase,2.0,1.0,1,JJ NN VBZ RB JJ TO PRP CC FW VBP RB JJ IN WRB PRP$ NN VBZ IN DT NNS RB JJ CC JJ DT JJ JJ NN FW VBD DT IN VBG IN PRP$ JJ NNS VBD VBG RP IN PRP$ NNS NN JJR IN VBG NNS TO DT NN CC VB PRP$ NN VB DT NNS VBP JJ IN PRP$ NN IN PRP$ NNS FW VBP RB JJ IN DT NN,73
27,this product arrived with an extremely intense odor that makes it unusable i understand that this is due to poorly fixed dye in a cheap low quality manufacturing process otherwise the luggage seems fine but i cannot use it because i do not want my clothes to smell like petroleum,1.0,0.0,0,DT NN VBD IN DT RB JJ NN WDT VBZ PRP JJ FW VBP IN DT VBZ JJ TO RB VBN VB IN DT JJ JJ NN NN NN RB DT NN VBZ JJ CC FW MD RB VB PRP IN FW VBP RB VB PRP$ NNS TO VB IN NN,50
28,i was not expecting much but it still managed to surprise me i am aware of the price but it freezes too often it is slow and pixelated it can barely function under regular conditions whenever i try to browse photos it crashes bottom line viewsonic ... sigh,0.0,0.0,0,LS VBD RB VBG JJ CC PRP RB VBD TO VB PRP FW VBP JJ IN DT NN CC PRP VBZ RB RB PRP VBZ JJ CC JJ PRP MD RB VB IN JJ NNS WRB FW VBP TO VB NNS PRP VBZ JJ NN NN : NN,48
29,i guess this was not very good because i dont remember downloading it i no longer have it oh well,0.0,0.0,0,LS NN DT VBD RB RB JJ IN FW FW VBP VBG PRP FW DT JJR VBP PRP UH RB,20
30,buy one no buy two of them better yet buy three and a kiki joy so you can use this great controller with your computers games as well it is well worth it,1.0,0.0,0,VB CD DT NN CD IN PRP RB RB VB CD CC DT NN NN IN PRP MD VB DT JJ NN IN PRP$ NNS NNS RB RB PRP VBZ RB JJ PRP,33
31,never has performed according to directions .. keeps repeating captain jojo at the helm over and over and does nothing else ... my two year old throws it out of the tub because it is downright annoying,0.0,0.0,0,RB VBZ VBN VBG TO NNS .,37
32,i chose this rating because it was a good deal and i like the cannon camera it is a very nice camera thank you for such a good deal gsg,2.0,1.0,1,LS VBD DT NN IN PRP VBD DT JJ NN CC FW IN DT NN NN PRP VBZ DT RB JJ NN VB PRP IN PDT DT JJ NN NN,30
33,used these for my daughter's wedding they are good quality and i would recommend them for decoration purposes beautiful in sunlight,2.0,1.0,0,VBN DT IN PRP$ NN POS NN PRP VBP JJ NN CC FW MD VB PRP IN NN NNS JJ IN NN,21
34,plastic not metal,1.0,0.0,0,NN RB NN,3
35,daughter loves them a nice way to have the appearance of gauges without the big holes,1.0,0.0,0,NN VBZ PRP DT JJ NN TO VB DT NN IN VBZ IN DT JJ NNS,16
36,this mic is not compatable with the ps2 sing star game .. just wanted people to know ...,1.0,0.0,4,DT JJ VBZ RB JJ IN DT NN VB NN NN .,18
37,the fact that this product spawned my inaugural amazon product review gives you an indication of it is impression on me overwhelmed by how awesome this lens is for the price i bought the rebel t2i at christmas for pics of our forthcoming baby but i found that the kit 18-55 lens very underwhelming for portrait photography understandably now it is hard to believe that the images produced by this lens came from the same camera other than the delightfully narrow depth of field the performance in low light is amazing with the large aperture this lens has not left the body since purchase and i even find myself using it for landscape shots too if you are on the fence about this just get it the lack of is has not been an issue at all for me i guess the larger aperture means it can shoot pics at faster shutter speeds to compensate also the older af mechanism does not even seem much louder than the latest usm system on more expensive lenses at the moment i simply find myself running this lens in av mode with the aperture ramped right up and the camera choosing an appropriate shutter speed amazing,3.0,1.0,3,DT NN IN DT NN VBD PRP$ JJ NN NN NN VBZ PRP DT NN IN PRP VBZ NN IN PRP VBD IN WRB JJ DT NN VBZ IN DT NN FW VBD DT NN NNS IN NNS IN NNS IN PRP$ JJ NN CC FW VBN IN DT NN CD NN RB JJ IN NN NN RB RB PRP VBZ JJ TO VB IN DT NNS VBN IN DT NN VBD IN DT JJ NN JJ IN DT RB JJ NN IN NN DT NN IN JJ NN VBZ JJ IN DT JJ NN DT NN VBZ RB VBN DT NN IN NN CC FW RB VB PRP VBG PRP IN NN NNS RB IN PRP VBP IN DT NN IN DT RB VB PRP DT NN IN VBZ VBZ RB VBN DT NN IN DT IN PRP FW VBP DT JJR NN VBZ PRP MD VB NNS IN JJR NN NNS TO VB RB DT JJR NN NN VBZ RB RB VB JJ RBR IN DT JJS NN NN IN RBR JJ NNS IN DT NN FW RB VB PRP VBG DT NN IN NN NN IN DT NN VBN RB RB CC DT NN VBG DT JJ JJR NN JJ,203
38,this game is so addictive and challenging it is a great game to keep your brain in shape you are going to love playing this game,2.0,1.0,0,DT NN VBZ RB JJ CC JJ PRP VBZ DT JJ NN TO VB PRP$ NN IN NN PRP VBP VBG TO VB VBG DT NN,26
39,the item was on time and was just what i needed,1.0,0.0,0,DT NN VBD IN NN CC VBD RB WP FW VBN,11
40,i loved it definitely a must for my gyarados collection buy it if you want but i was very pleased with it,1.0,0.0,0,LS VBD PRP RB DT MD IN PRP$ NNS NN VB PRP IN PRP VBP CC FW VBD RB JJ IN PRP,22
41,i own the previous ten compilations and this is the worst one by far i doubt there will be a number twelve as they have scraped the bottom of the barrel on this one liner notes as usual are great recordings are clean too the song selection justs plain sucks,0.0,0.0,0,LS VB DT JJ CD NNS CC DT VBZ DT JJS CD IN RB FW NN EX MD VB DT NN CD IN PRP VBP VBN DT NN IN DT NN IN DT CD NN NNS IN JJ VBP JJ NNS VBP JJ RB DT NN NN NNS JJ VBZ,50
42,too easy to misclick on a smartphone which can be disastrous this game is really good but this is probably the worst format for it tablet pc console etc anything bigger than a smartphone is a must,1.0,0.0,1,RB JJ TO VB IN DT NN WDT MD VB JJ DT NN VBZ RB JJ CC DT VBZ RB DT JJS NN IN PRP JJ NN NN FW NN JJR IN DT NN VBZ DT MD,37
43,great,0.0,0.0,0,JJ,1
44,for a very expensive tote needs some work the pockets both inside and outside are not deep enough things fall out constantly needs second interior zip i feel to be more functional material is great wipes clean and color is fun,2.0,1.0,0,IN DT RB JJ VB VBZ DT VBP DT NNS CC RB CC RB VBP RB JJ JJ NNS VBP RP RB VBZ JJ JJ NN FW VB TO VB RBR JJ NN VBZ JJ NNS JJ CC NN VBZ NN,41
45,used this on a monitor box that we custom made for doing gigs it has been holding up well and make it a lot easier to carry it around,2.0,1.0,0,VBN DT IN DT NN NN IN PRP NN VBN IN VBG NNS PRP VBZ VBN VBG RP RB CC VB PRP DT NN JJR TO VB PRP IN,29
46,i bought this cable plugged it into my garmin sixty-two cs and immediately it displayed the message this accessory not supported after double checking that i had the correct cable i e-mailed garmin support the same day i received a reply that they were sending me a new cable for free no questions they did not ask where i bought it how i used it nothing they did not ask for the bad one back about a week later i received the cable and it works fine by all appearances it is identical to the one i bought from amazon.so my suspicion is that quite a few of these cables are bad so many that garmin just gives anyone who asks a free replacement so if you have trouble with yours keep this post in mind you probably have a better chance of receiving a good replacement cable from garmin than if you exchanged the one you bought from amazon and you will not have to ship the bad one back,1.0,0.0,0,LS VBD DT NN VBD PRP IN PRP$ NN CD NNS CC RB PRP VBD DT NN DT NN RB VBN IN JJ NN WDT FW VBD DT JJ NN FW FW NN VBP DT JJ NN FW VBD DT NN IN PRP VBD VBG PRP DT JJ NN IN JJ DT NNS PRP VBD RB VB WRB FW VBD PRP WRB FW VBN PRP NN PRP VBD RB VB IN DT JJ CD RB IN DT NN RB FW VBD DT NN CC PRP VBZ JJ IN DT NNS PRP VBZ JJ TO DT CD FW VBN IN JJ PRP$ NN VBZ IN RB DT JJ IN DT NNS VBP JJ RB JJ IN NN RB VBZ NN WP VBZ DT JJ NN RB IN PRP VBP NN IN PRP$ VB DT NN IN NN PRP RB VBP DT JJR NN IN VBG DT JJ NN NN IN NN IN IN PRP VBD DT CD PRP VBD IN NN CC PRP MD RB VB TO VB DT JJ CD NN,171
47,i have never seen creativity for kids at the spa deluxe gift.it just looked like just the right thing filled with all kinds of delightful stuff for the budding young lady i had amazon ship it right to my nine year old grandaughter as a christmas present .. all i needed to know i got from the phone call on christmas morning from her saying breathlessly grandma thank you i just love it it is the best present i ever got,1.0,0.0,0,LS VBP RB VBN NN IN NNS IN DT NN JJ NN RB VBD IN RB DT JJ NN VBN IN DT NNS IN JJ NN IN DT VBG JJ NN FW VBD VBN NN PRP RB TO PRP$ CD NN JJ NN IN DT NN JJ .,81
48,took delivery of the foscam fi8919w set up was a breeze and everything was looking good that is until i tried to get the wifi working on it the camera would not scan the wifi networks available i tried two hours myself with no luck i just put another foscam exterior wifi camera into service two weeks ago with no problems so i called foscam tech support i was #20 in the list and waited fifty minutes to speak with a tech support rep he ran me through a bunch of restarts reboots etc he logged into mey computer and tried to make it work himself his final words ... you need to return it to the place you purchased it from it is defective okay i am sending it back today and followed it with another order for the same camera from amazon we will see how round two goes i really want to make this work because the quality of the picture was fantastic when i was using it in the wired mode just could not get wifi to work,0.0,0.0,1,VBD NN IN DT NN NN VBD RP VBD DT NN CC NN VBD VBG JJ DT VBZ IN FW VBD TO VB DT NNS VBG IN PRP DT NN MD RB VB DT NNS NNS JJ FW VBD CD NNS PRP IN DT NN FW RB VBN DT NN NN NNS NN IN NN CD NNS IN IN DT NNS RB FW VBN JJ NN NN FW VBD # CD IN DT NN CC VBD CD NNS TO VB IN DT NN NN NN PRP VBD PRP IN DT NN IN NNS VBZ FW PRP VBD IN NN NN CC VBD TO VB PRP VB PRP PRP$ JJ NNS : PRP VBP TO VB PRP TO DT NN PRP VBD PRP IN PRP VBZ JJ JJ FW VBP VBG PRP RB NN CC VBD PRP IN DT NN IN DT JJ NN IN NN PRP MD VB WRB JJ CD VBZ FW RB VB TO VB DT NN IN DT NN IN DT NN VBD JJ WRB FW VBD VBG PRP IN DT VBN NN RB MD RB VB NNS TO VB,182
49,works great,1.0,0.0,0,NNS JJ,2
50,i am not one for traditional alarm clocks but it just was not working relying on my cell phone all the time anymore so when i got a new iphone i decided to get an alarm clock that would charge my iphone play music and more importantly wake me up this clock is great the ihome app that you use is very customizable and simple to figure out i can set a million okay maybe not that many different alarms for different days and each of them can wake me up in a different way it is easy to choose between the standard buzzer sound or one of the stock sounds the radio an ipod playlist or just a specific song on your ipod iphone it is wonderful my only issue with it is the fact that i cannot change the volume of an alarm while it is going off i can hit snooze a ton i can have my favorite songs wake me by gradually getting louder before playing at the level set but once on pushing the volume buttons on the alarm or my iphone make the device get quiet while i am pushing the buttons but then it goes right back to where it was set it is fine but just takes time to get used to so make sure you do not set your alarms to max volume if you have anyone else you are trying not to wake up this has been a wonderful product for me and i am very happy with the purchase,3.0,1.0,1,LS VBP RB CD IN JJ NN NNS CC PRP RB VBD RB VBG VBG IN PRP$ NN NN PDT DT NN RB RB WRB FW VBD DT JJ NN FW VBD TO VB DT NN NN WDT MD VB PRP$ NN NN NN CC JJR RB VBP PRP RP DT NN VBZ JJ DT NN NN IN PRP VBP VBZ RB JJ CC JJ TO VB RP FW MD VB DT CD JJ RB RB IN JJ JJ NNS IN JJ NNS CC DT IN PRP MD VB PRP RP IN DT JJ NN PRP VBZ JJ TO VB IN DT JJ NN NN CC CD IN DT NN VBZ DT NN DT NN NN CC RB DT JJ NN IN PRP$ NN RB PRP VBZ JJ PRP$ JJ NN IN PRP VBZ DT NN IN FW MD RB VB DT NN IN DT NN IN PRP VBZ VBG RP FW MD VB NN DT NN FW MD VB PRP$ JJ NNS VBP PRP IN RB VBG RBR IN VBG IN DT NN NN CC RB IN VBG DT NN NNS IN DT NN CC PRP$ NN VB DT NN VB JJ IN FW VBP VBG DT NNS CC RB PRP VBZ RB RB TO WRB PRP VBD VBN PRP VBZ JJ CC RB VBZ NN TO VB VBN TO RB VB JJ PRP VBP RB VB PRP$ NNS TO VB NN IN PRP VBP NN RB PRP VBP VBG RB TO VB RP DT VBZ VBN DT JJ NN IN PRP CC FW VBP RB JJ IN DT NN,260
51,great,0.0,0.0,0,JJ,1
52,mezco's johann is a fantastic piece for any hellboy fan to have the attention to detail is outstanding and the figure really represents mignola's style very happy with this purchase and would recommend to anyone,2.0,1.0,0,NN POS NN VBZ DT JJ NN IN DT JJ NN TO VB DT NN TO NN VBZ JJ CC DT NN RB VBZ NN POS NN RB JJ IN DT NN CC MD VB TO NN,35
53,i just received this swaddle tee in the mail today first i went on a hunt for a different swaddle because our little man is very long he is already at the max length for another swaddle product and we were going to have to buy another size up anyway he is not even two months old so i wanted to see if there were other options out there also the velcro was very difficult to use for naps at night baby would be okay with mom fumbling in the dark with zippers and velcro ... but for naps ... no way momma it was too much movement and too cumbersome for him he would be awake and cranky by the time i could get it on him after opening the swaddle tee i wanted to try it on him before i washed it and got it ready to try later in the day he was ready for a nap and already cranky but i just could not resist i wanted to try it on well he is asleep right now in the tee the fabric is fantastic it is high quality for sure he fits in perfectly with room to grow,3.0,1.0,6,LS RB VBN DT NN NN IN DT NN NN JJ FW VBD IN DT NN IN DT JJ NN IN PRP$ JJ NN VBZ RB RB PRP VBZ RB IN DT NN NN IN DT NN NN CC PRP VBD VBG TO VB TO VB DT NN RP RB PRP VBZ RB RB CD NNS JJ IN FW VBD TO VB IN EX VBD JJ NNS IN RB RB DT NN VBD RB JJ TO VB IN NNS IN NN NN MD VB JJ IN NN VBG IN DT JJ IN NNS CC NN : CC IN NNS : DT NN NN PRP VBD RB JJ NN CC RB JJ IN PRP PRP MD VB JJ CC JJ IN DT NN FW MD VB PRP IN PRP IN VBG DT NN NN FW VBD TO VB PRP IN PRP IN FW VBN PRP CC VBD PRP JJ TO VB RB IN DT NN PRP VBD JJ IN DT NN CC RB JJ CC FW RB MD RB VB FW VBD TO VB PRP RP RB PRP VBZ RB RB RB IN DT NN DT NN VBZ JJ PRP VBZ JJ NN IN JJ PRP VBZ IN RB IN NN TO VB,202
54,had a crib which turned into toddler day bed now that my child is old enough bought these which turned the toddler bed into a full twin size bed,1.0,0.0,0,VBD DT NN WDT VBD IN NN NN NN RB IN PRP$ NN VBZ JJ RB VBD DT WDT VBD DT NN NN IN DT JJ NN NN NN,29
55,and she absolutely loves it she had trouble with the first two exposures but its because she did not have her diana f set to bulb mode which is important otherwise you will waste film wondering why there is not an image we also noticed that the battery door does not seem to always stay latched will probably just cover it with a piece of tape if it becomes a serious issue.definitely worth the purchase,2.0,1.0,1,CC PRP RB VBZ PRP PRP VBD NN IN DT JJ CD NNS CC PRP$ IN PRP VBD RB VB PRP FW FW VBN TO NN NN WDT VBZ JJ RB PRP MD VB NN VBG WRB EX VBZ RB DT NN PRP RB VBD IN DT NN NN VBZ RB VB TO RB VB VBN MD RB RB VB PRP IN DT NN IN NN IN PRP VBZ DT JJ RB IN DT NN,75
56,my daughter loves this shoe she is so picky and has flat feet so this is a great shoe for us,1.0,0.0,0,PRP$ NN VBZ DT NN PRP VBZ RB JJ CC VBZ JJ NNS RB DT VBZ DT JJ NN IN PRP,21
57,i got this for my baby when she was four months old and she enjoys it mainly for teething it does not have a lot of play value for her but she did love all its little loops for easy teething when she was still having a little trouble getting things into her mouth now she is six months sitting independently and mouthing everything with ease but she still likes to chew on this one when her gums are bothering her i would highly recommend it as a first toy we would have gotten much more use out of it had we bought it a couple of months earlier,2.0,1.0,0,LS VBD DT IN PRP$ NN WRB PRP VBD CD NNS JJ CC PRP VBZ PRP RB IN VBG PRP VBZ RB VB DT NN IN NN NN IN PRP$ CC PRP VBD VB DT PRP$ JJ NNS IN JJ NN WRB PRP VBD RB VBG DT JJ NN VBG NNS IN PRP$ NN RB PRP VBZ CD NNS VBG RB CC VBG NN IN NN CC PRP RB VBZ TO VB IN DT CD WRB PRP$ NNS VBP VBG PRP$ FW MD RB VB PRP IN DT JJ NN PRP MD VB VBN RB RBR VB IN IN PRP VBD PRP VBD PRP DT NN IN NNS RBR,109
58,arrived okay and in good condition it took a charge and held it well i would recommend this product to anyone,2.0,1.0,0,VBN JJ CC IN JJ NN PRP VBD DT NN CC VBD PRP RB FW MD VB DT NN TO NN,21
59,perfect size for my two yr old grandson and he loves it,1.0,0.0,0,JJ NN IN PRP$ CD NN JJ NN CC PRP VBZ PRP,12
60,you know what irks me about this product when it is converting the export progress box has an advertisement down the bottom right got elgato turbo two hundred and sixty-four as i work and my mouse moves over it an ad keeps popping up now if i had not paid good money for this ad supported i would not mind but i find this type of cross-promotion highly offensive i do not pay for advertisements and this will definitely be my last purchase from this company,3.0,1.0,0,PRP VBP WP VBZ PRP IN DT NN WRB PRP VBZ VBG DT NN NN NN VBZ DT NN IN DT JJ NN VBD JJ NN CD CD CC CD IN FW NN CC PRP$ NN VBZ IN PRP DT NN VBZ VBG RP RB IN FW VBD RB VBN JJ NN IN DT NN VBD FW MD RB VB CC FW VB DT NN IN NN RB JJ FW VBP RB VB IN NNS CC DT MD RB VB PRP$ JJ NN IN DT NN,86
61,this really is the rolls royce of phone cases ... may not be the sharpest looking ... but it protects a very valuable phone and when it falls this case protects,2.0,1.0,0,DT RB VBZ DT NNS NN IN NN NNS : MD RB VB DT JJS VBG : CC PRP VBZ DT RB JJ NN CC WRB PRP VBZ DT NN VBZ,31
62,good thanks,0.0,0.0,0,JJ NNS,2
63,broke too easily,1.0,0.0,0,VBD RB RB,3
64,product is great and it is exactly the same as the picture posted on the page highly recommend to everyone,2.0,1.0,0,NN VBZ JJ CC PRP VBZ RB DT JJ IN DT NN VBD IN DT NN RB VB TO NN,20
65,i have to admit that i bought this cd for a relative who has a strong liking for the classical music of j s bach the cd arrived quickly and in mint condition,1.0,0.0,4,LS VBP TO VB IN FW VBD DT NN IN DT JJ WP VBZ DT JJ NN IN DT JJ NN IN NN NNS VBP DT NN VBD RB CC IN NN NN,33
66,moms everywhere have commented on this bib my daughter is 17mo it covers great where it counts and she loves that it feels like her blankets,2.0,1.0,0,NNS RB VBP VBN IN DT NN PRP$ NN VBZ JJ PRP VBZ JJ WRB PRP VBZ CC PRP VBZ IN PRP VBZ IN PRP$ NNS,26
67,my son is usually really picky about the color or the way it has to be held but he is in love with this one,1.0,0.0,0,PRP$ NN VBZ RB RB JJ IN DT NN CC DT NN PRP VBZ TO VB VBN CC PRP VBZ IN NN IN DT CD,25
68,the engraving was so pretty love the ring,2.0,1.0,0,DT NN VBD RB RB VB DT NN,8
